sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_6,sensor_12,sensor_14,sensor_15,sensor_16,sensor_18,sensor_19,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_28,sensor_29,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_50,sensor_51,sensor_55,sensor_59,sensor_60,sensor_61,sensor_62,sensor_63,sensor_64,sensor_65,sensor_66,sensor_67,sensor_68,sensor_70,sensor_71,sensor_74,sensor_83,sensor_88,sensor_90,sensor_96,sensor_98,sensor_115,sensor_117,sensor_120,sensor_122,sensor_123,sensor_124,sensor_125,sensor_126,sensor_128,sensor_129,sensor_133,sensor_134,sensor_135,sensor_136,sensor_137,sensor_138,sensor_139,sensor_142,sensor_150,sensor_151,sensor_154,sensor_155,sensor_159,sensor_160,sensor_161,sensor_162,sensor_163,sensor_164,sensor_166,sensor_167,sensor_169,sensor_170,sensor_175,sensor_177,sensor_180,sensor_181,sensor_182,sensor_183,sensor_184,sensor_185,sensor_187,sensor_188,sensor_195,sensor_196,sensor_197,sensor_198,sensor_199,sensor_200,sensor_201,sensor_202,sensor_203,sensor_204,sensor_205,sensor_207,sensor_208,sensor_218,sensor_223,sensor_225,sensor_250,sensor_255,sensor_268,sensor_269,sensor_270,sensor_273,sensor_316,sensor_336,sensor_337,sensor_356,sensor_412,sensor_413,sensor_416,sensor_417,sensor_418,sensor_419,sensor_420,sensor_423,sensor_426,sensor_429,sensor_430,sensor_431,sensor_432,sensor_433,sensor_434,sensor_438,sensor_439,sensor_442,sensor_443,sensor_444,sensor_460,sensor_468,sensor_471,sensor_472,sensor_473,sensor_474,sensor_476,sensor_480,sensor_482,sensor_483,sensor_484,sensor_485,sensor_486,sensor_487,sensor_488,sensor_489,sensor_491,sensor_493,sensor_494,sensor_496,sensor_499,sensor_500,sensor_510,sensor_511,sensor_519,sensor_520,sensor_521,sensor_523,sensor_525,sensor_526,sensor_539,sensor_545,sensor_546,sensor_547,sensor_548,sensor_549,sensor_550,sensor_551,sensor_555,sensor_559,sensor_562,sensor_563,sensor_564,sensor_569,sensor_570,sensor_571,sensor_572,sensor_573,sensor_585,sensor_589,label
3030.93,2564.0,2187.7333,1411.1265,1.3602,97.6133,202.4396,7.9558,414.871,10.0433,192.3963,12.519,-5419.0,2916.5,-4043.75,751.0,0.8955,1.773,64.2333,2.0222,3.5191,83.3971,9.5126,50.617,64.2588,66.3141,86.9555,117.5132,61.29,4.515,352.7173,10.1841,130.3691,723.3092,1.3072,141.2282,624.3145,218.3174,2834.0,-1.7264,350.9264,10.6231,108.6427,16.1445,21.7264,29.5367,693.7724,0.9226,148.6009,608.17,84.0793,0.0,7.2163,1747.6049,8671.9301,-0.2786,0.3974,748.6115,58.4306,6.3788,2.639,15.94,15.93,0.8656,3.353,3.188,-0.0473,1000.7263,39.2373,123.0,111.3,75.2,46.2,350.671,6.78,4.271,10.284,11.8901,0.41,1017.0,967.0,1066.0,368.0,0.09,0.048,2.0,0.9,0.046,0.725,0.9499,0.16,20.95,0.333,12.49,16.713,0.0803,5.72,11.19,65.363,0.292,5.38,20.1,0.296,10.62,10.3,5.38,4.04,16.23,0.2951,8.64,10.3,97.314,3.4789,175.2173,1940.3994,219.9453,0.4269,40.855,4.5152,30.9815,15.9525,6.2698,8.4654,1.5989,1.2708,24.8504,29.0271,2.738,5.9846,525.0965,0.0,3.4641,53.684,1.7275,3.6084,18.7673,33.1562,26.3617,49.0013,10.0503,44.5055,42.2737,1.1975,0.6288,0.9163,29.9394,311.6377,9.7752,63.7987,24.7625,13.6778,31.9893,115.7408,613.3069,291.4842,494.6996,178.1759,843.1138,0.0,53.1098,0.0,0.7578,2.957,2.1739,17.1202,0.0,0.0,64.6707,0.0,5.83295,1.9864,0.0,0.1094,3.1406,0.5064,2.057,7.116,1.0616,395.57,75.752,0.4234,12.93,0.78,39.8842,0.4385,264.272,0.651,5.16,16.98835,533.85,2.1113,8.95,0.3157,2.363,71.9005,-1
3095.78,2465.14,2230.4222,1463.6606,0.8294,102.3433,200.547,10.1548,414.7347,9.2599,191.2872,12.4608,-5441.5,2604.25,-3498.75,-1640.25,1.2973,2.0143,68.4222,2.2667,3.4171,84.9052,9.7997,50.6596,64.2828,64.9193,87.5241,118.1188,78.25,2.773,352.2445,10.0373,133.1727,724.8264,1.2887,145.8445,631.2618,205.1695,2853.0,0.8073,352.0073,10.3092,113.98,10.9036,19.1927,27.6301,697.1964,1.1598,154.3709,620.3582,82.3494,0.0,6.8043,1931.6464,8407.0299,0.5854,-0.9353,731.2517,58.668,6.5061,2.541,15.91,15.88,0.8703,2.771,3.272,-0.0946,998.1081,37.9213,98.0,80.3,81.0,56.2,219.7679,5.7,6.285,13.077,11.8428,0.35,568.0,59.0,297.0,3277.0,0.112,0.115,2.2,1.1,0.561,1.0498,1.0181,0.325,17.99,0.439,10.14,16.358,0.0892,6.92,9.05,82.986,0.222,3.74,19.59,0.316,11.65,8.02,3.74,3.659,15.078,0.358,8.96,8.02,134.25,3.9578,128.4285,1988.0,193.0287,0.5749,29.743,3.6327,29.0598,17.4008,5.6522,7.7421,1.1506,1.2474,15.015,27.7464,3.93,9.0604,0.0,368.9713,2.1196,61.8918,1.4857,3.1595,10.4383,2.2655,8.4887,199.7866,8.6336,48.5294,37.5793,1.9562,0.8123,1.0239,40.4475,463.2883,10.2211,73.5536,19.4865,13.243,30.8643,163.0249,0.0,246.7762,0.0,359.0444,130.635,820.79,194.4371,0.0,3.6822,3.2029,0.1441,12.6788,0.0,0.0,141.4365,0.0,5.83295,1.6292,0.0,0.0673,3.131,0.8832,1.791,7.116,1.3526,408.798,74.64,0.7193,16.0,1.33,53.1836,0.1745,264.272,0.651,5.16,16.98835,535.0164,2.4335,5.92,0.2653,4.4447,208.2045,-1
2932.61,2559.94,2186.4111,1698.0172,1.5102,95.4878,202.0179,9.5157,416.7075,9.3144,192.7035,12.5404,-5447.75,2701.75,-4047.0,-1916.5,1.3122,2.0295,67.1333,2.3333,3.5986,84.7569,8.659,50.153,64.1114,65.8389,84.7327,118.6128,14.37,5.434,364.3782,9.8783,131.8027,734.7924,1.2992,141.0845,637.2655,185.7574,2936.0,23.8245,364.5364,10.1685,115.6273,11.3019,16.1755,24.2829,710.5095,0.8694,145.8,625.9636,84.7681,0.0,7.1041,1685.8514,9317.1698,-0.1343,-0.1427,718.5777,58.4808,6.4527,2.882,15.94,15.95,0.8798,3.094,3.272,-0.1892,998.444,42.0579,89.0,126.4,96.5,45.1001,306.038,8.33,4.819,8.443,8.2054,0.47,562.0,788.0,759.0,2100.0,0.187,0.117,2.1,1.4,0.319,1.0824,0.9677,0.326,17.78,0.745,13.31,22.912,0.1959,9.21,17.87,60.11,0.139,5.09,19.75,0.949,9.71,16.73,5.09,11.059,22.624,0.1164,13.3,16.73,79.618,2.4266,182.4956,839.6006,104.4042,0.4166,29.621,3.9133,23.551,15.7716,5.7247,8.9855,1.5481,0.7786,18.0233,21.6062,3.0609,5.2231,0.0,0.0,2.2943,50.6425,1.8268,3.522,10.3162,29.1663,18.7546,109.5747,14.2503,60.0,70.9161,0.4264,0.6263,0.8973,32.3594,21.3645,8.3977,148.0287,31.4674,45.5423,13.3923,93.9245,434.2674,151.7665,0.0,190.3869,746.915,74.0741,191.7582,250.1742,1.0281,3.9238,1.5357,18.9849,0.0,0.0,240.7767,244.2748,36.9067,2.9626,0.0,0.0751,12.1831,0.6451,2.1538,7.116,0.7942,411.136,74.654,0.1832,16.16,0.85,23.0713,0.3718,267.064,0.9032,1.1,68.8489,535.0245,2.0293,11.21,0.1882,3.1745,82.8602,1
2988.72,2479.9,2199.0333,909.7926,1.3204,104.2367,201.8482,9.6052,422.2894,9.6924,192.1557,12.4782,-5468.25,2648.25,-4515.0,-1657.25,1.3137,2.0038,62.9333,2.6444,3.3813,84.9105,8.6789,50.51,64.1125,65.1951,86.6867,117.0442,76.9,1.279,363.0273,9.9305,131.8027,733.8778,1.3027,142.5427,637.3727,189.9079,2936.0,24.3791,361.4582,10.2112,116.1818,13.5597,15.6209,23.4736,710.4043,0.9761,147.6545,625.2945,70.2289,0.0,7.5925,1752.0968,8205.7,0.0411,0.0177,709.0867,58.6635,6.4935,3.132,15.61,15.59,1.366,2.48,3.119,0.2838,980.451,41.1025,127.0,118.0,123.7,47.8,162.432,5.51,9.073,15.241,11.9738,0.35,859.0,355.0,3433.0,3004.0,0.068,0.108,1.7,0.9,0.241,0.9386,0.8567,0.39,16.22,0.693,14.67,22.562,0.1786,5.69,18.2,52.571,0.139,5.92,23.6,1.264,10.63,13.56,5.92,11.382,24.32,0.3458,9.56,21.97,104.95,5.5398,152.0885,820.3999,94.0954,0.4212,31.83,3.1959,33.896,16.9347,5.444,9.402,1.7317,1.8222,17.8537,14.5054,2.4643,7.6602,317.7362,0.0,1.9689,94.4594,1.5441,4.9898,15.7089,13.4051,76.0354,181.2641,5.176,34.0336,41.5236,0.4097,0.5183,0.6849,27.6824,24.2831,9.1494,100.0021,37.8979,48.4887,35.4323,149.4399,225.0169,100.4883,305.75,88.5553,104.666,71.7583,0.0,336.766,1.767,3.1817,0.1488,29.2542,0.0,711.6418,113.5593,0.0,4.12,2.4416,0.0,0.0977,6.7553,0.7404,2.1565,7.116,1.165,372.822,72.442,1.8804,131.68,39.33,161.4081,0.7288,268.228,0.6511,7.32,25.0363,530.5682,2.0253,9.33,0.1738,2.0544,73.8432,-1
3032.24,2502.87,2233.3667,1326.52,1.5334,100.3967,201.9424,10.5661,420.5925,10.3387,191.6037,12.4735,-5476.25,2635.25,-3987.5,117.0,1.2887,1.9912,62.8333,3.1556,3.2728,86.3269,8.7677,50.248,64.1511,66.1542,86.1468,121.4364,76.39,2.209,353.34,10.4091,176.3136,789.7523,1.0341,138.0882,667.7418,233.5491,2865.0,-12.2945,355.0809,9.7948,144.0191,21.9782,32.2945,44.1498,745.6025,0.9256,146.6636,645.7636,65.8417,0.0,7.5017,1828.3846,9014.46,0.2189,-0.6704,796.595,58.3858,6.3551,3.148,15.73,15.71,0.946,3.027,3.299,-0.5677,993.1274,38.1448,119.0,143.2,123.1,48.8,296.303,3.64,9.005,12.506,13.9047,0.43,699.0,283.0,1747.0,1443.0,0.147,0.04,3.9,0.8,0.499,0.576,0.8285,0.922,15.24,0.282,10.85,37.715,0.1189,3.98,25.54,72.149,0.25,5.52,15.76,0.519,10.71,19.77,5.52,8.446,33.832,0.3951,9.09,19.77,92.307,4.1338,69.151,1406.4004,149.2172,0.4051,19.862,3.6163,34.125,17.4864,4.8956,9.7777,1.6216,1.553,22.3369,24.4142,3.3208,4.2178,0.0,866.0295,2.5046,85.2255,1.2943,3.8754,12.7642,10.739,43.8119,0.0,11.4064,25.3521,37.4691,0.7198,0.6076,0.9088,30.8924,44.898,7.4365,89.9529,17.0927,19.1303,42.6838,140.1953,171.4486,276.881,461.8619,240.1781,0.0,587.3773,748.1781,0.0,2.2358,3.2712,0.0372,107.6905,293.1396,0.0,148.0663,0.0,5.83295,2.5512,0.0,0.0616,2.9954,2.2181,2.0579,7.116,1.4636,399.914,79.156,1.0388,19.63,1.98,70.9706,0.2156,264.272,0.651,5.16,16.98835,532.0155,2.0275,8.83,0.2224,99.3032,73.8432,-1
2946.25,2432.84,2233.3667,1326.52,1.5334,100.3967,200.472,8.6617,414.2426,9.2441,191.228,12.4935,-6058.0,2953.75,-3906.5,193.75,0.893,1.7775,62.3778,1.6333,3.52,85.4233,9.6484,50.5795,64.072,66.2949,87.0273,117.4928,59.94,3.024,360.2873,9.7804,142.2591,746.8692,1.188,137.6473,640.1936,192.7702,2865.0,28.2955,360.2409,9.8344,130.5545,7.618,11.7045,18.3685,728.5007,0.9227,144.6982,635.4936,70.3707,0.0,6.7509,1832.6305,7869.7,0.1925,-0.224,748.0887,58.656,6.3186,2.541,15.91,15.88,0.8703,2.771,3.272,-0.0946,998.1081,37.9213,123.0,159.8,119.3,48.8,296.303,3.64,5.369,10.42,11.8948,0.45,2089.0,910.0,323.0,1157.0,0.065,0.036,1.7,0.9,0.123,0.6308,0.7408,0.219,19.7,0.482,14.38,35.535,0.1552,7.92,21.62,82.556,0.244,6.61,24.22,1.003,11.8,21.78,6.61,9.679,34.8069,0.5217,12.32,34.99,111.952,2.8799,129.1731,1132.2998,158.2729,0.4484,29.743,3.6327,32.0878,17.4864,5.5901,10.4221,1.9589,0.969,22.3369,24.4142,3.3208,4.638,347.774,865.1584,1.4577,61.9853,1.0841,3.6904,34.4833,30.8083,8.2683,597.1613,7.2788,55.102,76.0159,3.2918,0.756,0.8812,42.8261,23.3606,9.0384,285.9,56.4737,52.6935,56.539,159.0889,325.3468,71.0586,0.0,826.936,0.0,78.3348,723.4234,273.8095,8.2199,2.7883,0.2873,14.7656,0.0,0.0,68.7351,622.2222,4.6687,2.1027,0.0,0.0706,4.406,2.9077,1.791,7.116,1.2708,412.222,80.326,1.105,16.06,1.65,86.9463,0.29,254.006,0.8444,4.75,22.5598,534.2091,2.3236,8.91,0.3201,3.8276,44.0077,-1
3030.27,2430.12,2230.4222,1463.6606,0.8294,102.3433,202.0901,9.035,415.8852,9.999,192.0912,12.4608,-6154.0,2691.75,-3914.75,580.25,0.9063,1.7715,60.8,2.4889,3.4927,87.1543,9.1502,50.2847,64.2476,66.2237,86.374,121.8664,74.46,3.978,352.1836,10.062,132.3455,723.4934,1.2714,146.4855,631.0145,201.7609,2853.0,2.1109,351.46,10.3685,114.4564,12.74,17.8891,26.2754,697.218,1.115,152.3582,618.2745,83.4997,0.0,8.4126,1740.6472,9238.3601,-0.0334,-0.194,806.2734,58.823,6.5398,2.575,15.89,15.84,0.8089,2.854,3.383,-0.4731,995.1991,36.9578,89.0,173.7,122.5,56.2,219.7679,5.7,8.255,10.965,13.8354,0.35,2117.0,643.0,441.0,565.0,0.078,0.04,3.0,0.6,0.11,0.5811,0.8142,1.065,18.27,0.475,10.81,15.84,0.1016,5.04,6.91,47.803,0.222,3.43,17.53,0.247,11.94,14.05,3.43,4.58,18.091,0.334,13.41,14.05,114.35,1.9062,65.3582,1046.2002,105.5219,0.5536,29.099,2.8,24.0522,17.4008,4.9162,8.099,0.8887,0.7223,15.015,27.7464,3.93,6.0381,326.1524,467.5756,2.5678,91.3669,1.9544,6.1127,34.4004,23.8878,11.2651,97.3718,8.6069,24.1071,55.7395,0.3887,0.702,0.8615,23.6929,162.4892,10.4319,110.283,19.1737,17.4307,29.9535,136.9466,266.1526,509.0909,110.6781,189.4602,586.3636,0.0,355.7932,304.5139,2.6373,3.6587,0.3268,41.0596,0.0,723.3853,159.5238,748.3871,5.83295,4.0505,0.0,0.0988,4.734,0.5157,1.4336,7.116,0.5051,404.356,72.04,0.1489,13.73,0.87,29.4773,0.4697,264.272,0.651,5.16,16.98835,541.9036,2.4229,6.48,0.2027,2.8515,44.0077,-1
3058.88,2690.15,2248.9,1004.4692,0.7884,106.24,202.417,13.6872,408.4017,9.6836,192.7334,12.5263,-5395.5,2551.75,-3819.75,-737.0,1.328,1.9893,67.3,2.7889,3.4588,83.8887,8.7289,50.4685,64.4021,65.0665,86.7493,116.5628,78.09,2.671,358.67,9.9271,142.2945,745.6875,0.9025,136.6791,637.6436,133.6606,2865.0,29.1309,360.1382,9.8389,131.4255,5.5936,10.8691,15.3094,730.3781,0.9965,144.3255,635.8891,57.0841,0.0,6.2166,1826.1111,9117.3699,-0.0456,-0.1188,778.3335,59.0421,6.3241,2.27,15.86,15.8,0.7568,2.645,3.442,0.7096,992.8298,40.5458,91.0,175.4,201.1,55.5,249.9639,7.56,19.388,14.952,12.2552,0.48,233.0,346.0,1429.0,807.0,0.161,0.142,1.9,1.1,0.385,0.8182,0.9357,0.22,13.92,0.393,14.09,37.242,0.0826,7.61,21.7,11.961,0.244,4.72,24.7,1.026,12.72,12.63,4.72,4.496,35.803,0.7151,17.14,28.89,73.632,7.5616,126.1031,1222.1006,128.7632,0.442,27.861,2.9057,29.3966,19.9839,4.8066,11.2226,1.4892,2.46,24.8852,7.321,2.8699,6.7774,399.362,0.0,3.306,141.6508,1.6483,3.3651,4.3184,13.5593,37.4108,109.498,12.1235,39.4422,32.6055,1.1227,0.8391,1.0969,8.9488,16.2027,9.6785,225.7941,43.4259,29.3676,71.7657,128.9887,374.6159,89.1323,484.1046,0.0,0.0,129.2388,0.0,440.8163,2.5556,3.8989,0.0527,47.8698,0.0,0.0,79.1209,0.0,13.823,1.6426,0.0,0.1232,4.2075,2.6891,1.4141,7.116,0.6174,408.116,73.856,0.4455,15.97,0.76,72.153,0.4232,265.09,0.5652,7.78,23.6052,493.0054,2.2008,278.19,0.354,2.1261,95.031,-1
2967.68,2600.47,2248.9,1004.4692,0.7884,106.24,202.4544,12.6837,417.6009,9.7046,192.7498,12.5263,-4196.5,2059.5,-2948.0,622.75,0.683,1.323,62.8,2.1444,3.5067,85.4274,9.6234,50.4893,63.9315,66.3322,86.9476,117.419,61.1,3.217,358.9564,9.7842,142.7009,745.4127,1.1722,138.3109,639.9682,216.9538,2865.0,26.9791,358.3473,9.8398,129.68,8.8612,13.0209,19.9475,725.4652,0.9079,144.5455,632.5727,74.3992,0.0,7.6346,1788.8624,8615.27,-0.1279,0.1975,748.563,58.7785,6.3354,2.27,15.86,15.8,0.7568,2.645,3.442,0.7096,992.8298,40.5458,91.0,136.1,116.8,55.5,249.9639,7.56,7.245,16.973,12.0061,0.48,5781.0,2900.0,3961.0,948.0,0.912,1.766,2.4,0.6,0.091,0.5087,0.8582,0.226,12.48,0.36,11.45,31.969,0.1811,5.63,19.79,81.637,0.244,5.09,18.92,0.877,11.79,16.32,5.09,6.867,31.886,0.4077,7.18,25.3,90.715,2.8877,100.5114,740.3994,61.5139,0.4304,27.861,2.9057,29.3966,19.9839,4.3824,8.7793,1.5156,1.0533,24.8852,7.321,2.8699,6.153,496.3964,624.0602,3.1427,57.1204,1.5571,3.9248,137.7577,140.8109,134.3623,152.228,133.5286,27.9793,38.494,2.9979,0.8602,0.8204,37.6287,18.8665,9.0916,184.1738,39.091,34.4251,44.9089,121.9301,477.0328,106.1693,51.4694,892.1933,616.8421,86.1931,364.0719,155.6827,2.5556,1.7466,2.9308,25.8449,0.0,686.5784,138.5827,395.2941,6.5964,2.3441,0.0,0.0727,6.5231,2.0667,1.4141,7.116,0.671,408.468,74.016,0.3469,17.54,1.36,51.7053,0.1343,265.184,0.6286,6.28,18.212,535.1818,2.217,7.09,0.3168,3.4456,111.6525,-1
3016.11,2428.37,2248.9,1004.4692,0.7884,106.24,202.5999,12.4278,413.3677,9.7046,192.8953,12.5263,-5357.5,2872.5,-3911.5,873.75,0.9002,1.778,67.0333,2.3778,3.5207,83.8887,8.7289,50.4685,64.4021,65.0665,86.7493,116.5628,78.09,2.671,360.6945,9.7485,141.9964,746.1649,1.1935,137.1391,639.83,194.3669,2865.0,28.3118,361.1809,9.6675,130.3082,6.8983,11.6882,18.1525,728.0125,1.0028,147.1409,638.63,65.504,0.0,7.4956,1712.8033,9126.72,-0.0405,0.3639,786.6071,58.3664,6.2053,2.27,15.86,15.8,0.7568,2.645,3.442,0.7096,992.8298,40.5458,123.0,175.8,211.9,55.5,249.9639,7.56,13.545,18.186,12.1224,0.48,862.0,882.0,422.0,186.0,0.076,0.052,2.5,0.8,0.096,0.8182,0.9357,0.22,14.9,0.509,14.36,36.258,0.0987,10.29,23.39,43.062,0.244,6.18,14.7,1.179,17.58,5.58,6.18,5.58,38.652,0.6348,24.97,21.47,109.867,4.2936,138.5192,1266.0,123.1775,0.4653,27.861,2.9057,30.9815,19.9839,4.9838,11.5511,1.9743,1.5076,24.8852,7.321,2.8699,4.7137,397.4922,979.2574,3.6422,108.9894,1.8549,3.0589,16.0896,30.705,10.7887,21.2876,8.4421,33.6449,45.7453,1.1227,0.8391,1.0969,22.155,21.8283,13.4911,80.8892,52.8739,30.7396,63.2981,167.7256,790.5782,104.004,979.8817,816.9231,497.603,119.3208,115.01,0.0,3.2587,3.55,0.671,44.0988,0.0,0.0,86.0068,0.0,7.9931,2.6612,0.0,0.1007,7.4717,0.4676,1.4141,7.116,0.9069,396.504,75.06,0.7399,15.15,1.11,81.5915,0.2005,265.206,0.6154,7.04,5.8617,533.42,2.2598,3.54,0.1676,3.0687,90.2294,-1
